epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9027454257011414,0.298863023519516,1e-05,0.9410149455070496,0.18923068046569824
1,0.9166645407676697,0.25448110699653625,1e-05,0.9494925141334534,0.15747971832752228
2,0.9254919290542603,0.22789619863033295,1e-05,0.9456716179847717,0.16050080955028534
3,0.9341913461685181,0.1969849169254303,1e-05,0.9459104537963867,0.157545804977417
4,0.9431722164154053,0.16985958814620972,2.9999999e-06,0.9545074701309204,0.1305130571126938
5,0.9456797242164612,0.16153772175312042,2.9999999e-06,0.9525970220565796,0.13787761330604553
6,0.9459867477416992,0.1640176773071289,2.9999999e-06,0.9567761421203613,0.12693734467029572
7,0.948391854763031,0.1534980684518814,2.9999999e-06,0.9500895738601685,0.1503930240869522
8,0.9498247504234314,0.15140128135681152,2.9999999e-06,0.9522387981414795,0.14353550970554352
9,0.9525880813598633,0.14286163449287415,9e-07,0.9577313661575317,0.12492045760154724
10,0.9532021880149841,0.14009793102741241,9e-07,0.957970142364502,0.12222722917795181
11,0.9534324407577515,0.1348603367805481,9e-07,0.9588059782981873,0.11925628781318665
12,0.954251229763031,0.13729557394981384,9e-07,0.9592835903167725,0.12118247896432877
13,0.9560166597366333,0.13244707882404327,9e-07,0.9584477543830872,0.12373367697000504
14,0.9553514122962952,0.13450312614440918,2.7e-07,0.958328366279602,0.12179947644472122
